      0.68182315E-05        30        30        30        30         0        -1         0         0      -151       518       666   1012854    169244     19943      9989
      0.13637373E-04        30        30        30        30         0        -1         0         0      -257       508       756   1012951    169147     19943      9989
      0.20456514E-04        30        30        30        30         0        -1         0         0      -332       426       749   1013023    169074     19944      9989
      0.27275656E-04        30        30        30        30         0        -1         0         0      -394       418       805   1013082    169014     19944      9990
      0.34095274E-04        30        30        30        30         0        -1         0         0      -455       429       876   1013142    168954     19944      9990
      0.40915006E-04        30        30        30        30         0        -2         0         0      -626       303       922   1013311    168784     19945      9990
      0.47734738E-04        30        30        30        30         0        -2         0         0      -747       224       961   1013429    168664     19947      9990
      0.54554470E-04        30        30        30        30         0        -2         0         0      -834       160       982   1013516    168577     19947      9990
      0.61374202E-04        30        30        30        30         0        -2         0         0      -934       127      1047   1013614    168478     19947      9991
      0.68194003E-04        30        30        30        30         0        -2         0         0     -1051       138      1179   1013733    168358     19948      9991
      0.75013683E-04        30        30        30        30         0        -2         0         0     -1146       136      1272   1013824    168264     19950      9992
      0.81833374E-04        30        30        30        30         0        -2         0         0     -1245       118      1353   1013921    168165     19950      9994
      0.88653625E-04        30        30        30        30         0        -2         0         0     -1306       149      1443   1013982    168104     19950      9994
      0.95473880E-04        30        30        30        30         0        -2         0         0     -1395       152      1534   1014067    168017     19951      9995
